"cod","nome","período","valor"
"3","SE","1996","1918"
"1","N","1996","224"
"5","CO","1996","337"
"2","NE","1996","791"
"4","S","1996","413"
"4","S","1997","398"
"5","CO","1997","301"
"1","N","1997","197"
"2","NE","1997","711"
"3","SE","1997","1981"
"4","S","1998","428"
"5","CO","1998","296"
"1","N","1998","219"
"2","NE","1998","603"
"3","SE","1998","1958"
"4","S","1999","395"
"5","CO","1999","311"
"1","N","1999","183"
"2","NE","1999","631"
"3","SE","1999","2016"
"4","S","2000","392"
"5","CO","2000","336"
"1","N","2000","200"
"2","NE","2000","761"
"3","SE","2000","2055"
"1","N","2001","271"
"5","CO","2001","331"
"2","NE","2001","773"
"4","S","2001","437"
"3","SE","2001","2039"
"3","SE","2002","2056"
"5","CO","2002","364"
"1","N","2002","207"
"2","NE","2002","764"
"4","S","2002","477"
"4","S","2003","474"
"5","CO","2003","359"
"1","N","2003","237"
"2","NE","2003","798"
"3","SE","2003","2073"
"4","S","2004","523"
"5","CO","2004","348"
"1","N","2004","225"
"2","NE","2004","858"
"3","SE","2004","1877"
"4","S","2005","516"
"5","CO","2005","339"
"1","N","2005","284"
"2","NE","2005","939"
"3","SE","2005","1809"
"2","NE","2006","1036"
"5","CO","2006","317"
"3","SE","2006","1867"
"1","N","2006","307"
"4","S","2006","503"
"2","NE","2007","1017"
"3","SE","2007","1600"
"4","S","2007","504"
"1","N","2007","301"
"5","CO","2007","356"
"3","SE","2008","1607"
"5","CO","2008","370"
"1","N","2008","333"
"2","NE","2008","1108"
"4","S","2008","611"
"4","S","2009","649"
"5","CO","2009","400"
"1","N","2009","381"
"2","NE","2009","1207"
"3","SE","2009","1628"
"4","S","2010","675"
"5","CO","2010","404"
"1","N","2010","413"
"2","NE","2010","1385"
"3","SE","2010","1600"
"4","S","2011","559"
"5","CO","2011","506"
"1","N","2011","411"
"2","NE","2011","1476"
"3","SE","2011","1570"
"4","S","2012","672"
"5","CO","2012","501"
"1","N","2012","500"
"2","NE","2012","1428"
"3","SE","2012","1628"
"1","N","2013","506"
"5","CO","2013","515"
"2","NE","2013","1548"
"4","S","2013","595"
"3","SE","2013","1605"
"3","SE","2014","1619"
"5","CO","2014","546"
"1","N","2014","484"
"2","NE","2014","1542"
"4","S","2014","645"
"4","S","2015","625"
"5","CO","2015","489"
"1","N","2015","553"
"2","NE","2015","1452"
"3","SE","2015","1502"
"4","S","2016","653"
"5","CO","2016","486"
"1","N","2016","574"
"2","NE","2016","1518"
"3","SE","2016","1414"
"4","S","2017","658"
"5","CO","2017","455"
"1","N","2017","614"
"2","NE","2017","1774"
"3","SE","2017","1435"
"2","NE","2018","1610"
"5","CO","2018","429"
"3","SE","2018","1282"
"1","N","2018","639"
"4","S","2018","559"
